CustomerName,CustomerNational,CustomerType,RoomType,Duration,Positive_Review,Negative_Review,CustomerPoint,Review_Title,HotelName
Joseph,Singapore,Khách lẻ,"Suite Ở Góc Có 1 Phòng Ngủ, 1 Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",2 đêm,"Excellent location on the main beach. The elevators can get a little crowded during the breakfast rush and other busy times. Breakfast was very packed and busy.

The staff was very gracious and attentive.",The room style and decoration was a little dated for my taste.,"7,0",Good value and centrally located,Four Points by Sheraton Danang
Le_hoang_anh,Việt Nam,Phòng gia đình,"Phòng Superior 2 Giường Đơn, Nhìn Ra Thành Phố, Ban Công",2 đêm,Clean room and quiet.,Breakfast was too crowded.,"8,0",Good,Four Points by Sheraton Danang
Chou,Campuchia,Khách lẻ,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",1 đêm,"definitely a recommended hotel. The location is excellent with very nice river view and easily accessible to downtown areas. The hotel facility and staff will make you feel very welcome. from the front desk, baristas and dining areas staff are very helpful in every way. The room is very clean, spacious and with complete modern facilities you may need. The breakfast is excellent with plenty variety suitable for western and Asian.",Not any particular,"9,0","Despite the rainy weather, I have a great time at the hotel.",Four Points by Sheraton Danang
Tracey,Vương Quốc Anh,Cặp đôi,"Phòng Deluxe Có Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",1 đêm,the staff were exceptional friendly and helpful,nothing,10,very comfortable stay with a delicious fresh breakfast,Four Points by Sheraton Danang
Adan,Mỹ,Cặp đôi,"Suite Ở Góc Có 1 Phòng Ngủ, 1 Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",2 đêm,Breakfast staff were nice and friendly. Bed was very good. Pool on roof is cool and you get some good views up there.,"The elevators were very slow, 4 total but still waited long time each time, not horrible but easily noticeable.","9,0",Weekend getaway,Four Points by Sheraton Danang
Vinh,Việt Nam,Cặp đôi,"Phòng Deluxe Có Giường Cỡ King Với Tầm Nhìn Toàn Cảnh, Phòng Nghỉ, 1 Giường Cỡ King, Tầm Nhìn Ra Đại Dương, Tầng Cao, Có Ban Công",2 đêm,location right in front of beach,due to covid so some restaurants closed,"9,0",satisfied,Four Points by Sheraton Danang
Thibault,Việt Nam,Phòng gia đình,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",4 đêm,Very Good hôtel ! The Room is beautifull and very clean ! The staff is very caring ! I highly recommend !,,"9,0",Excellent,Four Points by Sheraton Danang
Nicholas,New Zealand,Phòng gia đình,"Suite Ở Góc Có 1 Phòng Ngủ, 1 Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",1 đêm,Location excellent and magnificent sea/beach view. Great gym for a hotel and nice pool.,Breakfast can be improved in terms of selection and some areas of quality (some fruits were little bit soggy and tasteless). Some confusion with Booking.com over sofa bed for our son. But hotel correctly supplied an extra bed at no cost when they saw the error. Room service and top restaurant menu choices a little bit limited - maybe pandemic and guest numbers influenced this,"8,0",Great stay. We extended an extra night.,Four Points by Sheraton Danang
Viet,Việt Nam,Cặp đôi,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",1 đêm,"Great customer service throughout the hotel. The view of the room is quite perfect as it is over the sea. 
The room is very comfortable and clean. Perfect location to city and attractions.",The breakfast has fewer choice. Only chicken and no appearance of pork or beef. It should have more options to match with 5* standard hotel.,10,Great,Four Points by Sheraton Danang
James,Vương Quốc Anh,Khách lẻ,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",3 đêm,"Great customer service throughout the hotel
View over the sea",Slow elevators,"9,0",Tuyệt hảo,Four Points by Sheraton Danang
Phu,Việt Nam,Phòng gia đình,"Phòng Superior 2 Giường Đơn, Nhìn Ra Thành Phố, Ban Công",3 đêm,"Room is quite large, with great facilities. Overall clean and tidy.
Have bike borrowing service (no charge) to travel short distance to beach, restaurants, etc.","Breakfast is sorely limited, with extremely low amount of veggies available. Fruit is somewhat scarce too. You have to specifically ask for them, as they are not on display or on menu.","8,0",Satisfying and enjoyable,Four Points by Sheraton Danang
David,Úc,Phòng gia đình,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",3 đêm,The staff are lovely and friendly.,"We could not stand another night! Left earlier than we booked for and decided to stay at a hotel nearby. 

The issue was black mould on the walls. Terrible upkeep of this supposedly upmarket hotel. The entire building has a musty smell that is covered by a staff member continuously walking around with deodoriser. 


Details we want to share but you may not want to read:
My wife has severe allergies to any mould. The first room we were given was appalling (see photos) and her allergies broke out immediately. We returned to the Lobby and waited over 2 hours for them to find us another room. 
When they found a room my wife inspected before we moved our luggage and it also had mould. They showed us a 3rd room and it was better (still had some mould but not as bad). The manager tried to suggest the black was ""glue"" from the wallpaper... Glue doesn't cause her allergies to flare up, mould does. 

After 2 sleepless nights we couldn't take anymore and decided to cut our stay short and find another hotel with vacancies in the area. 

Acknowledgements:
The manager did try to help us. He also gave us 2 free massage tickets. Although, he took one of them back after realising each one was for 2 people. He then explained how we ""have to appreciate how difficult it has been for him."" (Direct quote He said to me). After taking back the massage voucher he then gave me 2 free beers in the lobby bar. 
Seems they lack understanding that we were the customer and weren't getting sleep because of the atrocious state of their rooms. Expecting us to have sympathy for him somehow... 

We would recommend you choose very carefully and consider some of the other hotels in the area. Our experience with Four Points by Sheraton was horrific and we would not want anyone else to have a similar experience.","3,0",Kém,Four Points by Sheraton Danang
Vijaya,Úc,Khách lẻ,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",1 đêm,Staff were lovely,"The ocean view rooms are very noisy with traffic noise until midnight and then starts again around 530am.
The design of the room has the smoke detector directly above the bed, which flashes all night long. When the lights are out it is magnified. The hotel is aware of the problem and offers an eye mask.
Staying on lower floors means you have to wait for elevators repeatedly (full from higher floors), especially at peak hours, which in the morning if you're trying to leave at a specific time for a work meeting is very frustrating (walking 8 flights of stairs not a preferred option).","4,0",Noisy and not restful rooms. Wouldn't stay here for work travel again.,Four Points by Sheraton Danang
Sandeep,Ấn Độ,Cặp đôi,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",2 đêm,The location was beach front,"The staff was very uncooperative, no facility to exchange more then 100 usd","5,0",Ok,Four Points by Sheraton Danang
Lucy,Úc,Phòng gia đình,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",2 đêm,Room was a good size and the view from the balcony was great. Staff were attentive. Breakfast was fabulous.,"When we drove up to the building I was shocked with how old and dated the exterior was - so many cracks going up all the way to the 36th floor which made us very uneasy. Inside smelt, there was air freshener constantly being sprayed. Other than breakfast, there was not a great variety of food.","6,0",Dễ chịu,Four Points by Sheraton Danang
Michelle,Úc,Cặp đôi,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",1 đêm,Good view of the ocean,"Very outdated, smelt musty, food ordinary and staff totally disinterested. Worst stay at a Marriott I have ever had.","5,0",Never again,Four Points by Sheraton Danang
Nishi,Mỹ,Nhóm,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",3 đêm,Showers and gym were good. The timeliness of the service when requested were very good and staff was friendly.,There was a bad sewage odor in the lobby.,"6,0","Good, but could have been better.",Four Points by Sheraton Danang
Preeti,Ấn Độ,Cặp đôi,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",4 đêm,They have charged us more than what we booked it for on the booking.com app,They have charged us more than what we booked it for on the booking.com app,"1,0",They have charged us more than what we booked it for on the booking.com app,Four Points by Sheraton Danang
Cheryl,Hồng Kông,Nhóm,"Phòng Deluxe 2 Giường Đơn, Nhìn Một Phần Ra Biển, Ban Công",2 đêm,Big room,Limited choice for breakfast. Facilities a bit old unlike what are shown on photos,"5,0",Tàm tạm,Four Points by Sheraton Danang
Mukesh,Việt Nam,Nhóm,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",2 đêm,,"Booking.Com did not inform me that when I booked 2 Dbl rooms 4 guests, 
Only 2 Breakfast was included. For other two we had to pay extra.","5,0",Booking.Com should have common sense.,Four Points by Sheraton Danang
Angela,Vương Quốc Anh,Nhóm,"Phòng Deluxe 2 Giường Đơn, Nhìn Một Phần Ra Biển, Ban Công",3 đêm,The breakfast,The room location overlooked a building site,"3,0",Lots of little problems that you don’t expect in a five star hotel,Four Points by Sheraton Danang
Luca,Ý,Phòng gia đình,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",2 đêm,"Location, facilities, view, breakfast","The room was humid, so much that the bedsheet were wet and the carpet a bit smelly. We dried the bedsheet with the hair dryer the first night, because we arrived at midnight and were too tired to ask for a new room. We did it in the morning but they said they had no more rooms available (with so many rooms I doubt it, but still). They offered to deep clean the room and change the bedsheet. We said we preferred to have a different room as the humidity was clearly non going to be solved by cleaning the room, but no chance, that was the only option. Well, the room was cleaned so and so, the humidity was the same (all my clothes were wet, the passport cover bent) but we didn't tell anything anymore as we stayed only 2 nights and there was no point in spending our holiday complaining. Also, there was not much collaboration from the hotel staff on the matter. However, that's no way to solve an issue in a high quality hotel like that and at such an cost. Ah, they offered us 2 small beers for our trouble..","5,0",Humid rooms,Four Points by Sheraton Danang
Ho,Singapore,Phòng gia đình,"Suite Ở Góc Có 1 Phòng Ngủ, 1 Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",2 đêm,"Breakfast spread was good.
Staff were friendly.
Left 2 items at the pool. Items were returned the next day.","Hotel was inflexible as the booking was made via Booking.com.
During reservation, Booking.com said breakfast was included, but hotel said only for 2 guests, kids need to pay, even though kids was included in the reservation w booking. 
Also, in Booking.com, a sofa bed was listed, but upon arrival, Hotel Staff said its a sofa and not a sofa bed. Blamed everything on Booking.com.
Additional Bed will need to be charged. 
After a friend intervened and contacted the hotel manager, then was a bed provided FOC. 

Upon checking into the room, a stain was noticed in the tub. It was cleared after informing the hotel.

Lift were slow in the hotel. During peak hours, took pretty long to reach the lobby if there are many stops in between.","6,0",Passable. Next time do not book via Booking.com,Four Points by Sheraton Danang
Tran,Việt Nam,Nhóm,"Phòng Deluxe Có Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",3 đêm,good,,"4,0",Thất vọng,Four Points by Sheraton Danang
Janet,Hồng Kông,Phòng gia đình,"Phòng Superior 2 Giường Đơn, Nhìn Ra Thành Phố, Ban Công",2 đêm,,"Unpleasant experience. Small pool, old room and facility, breakfast has limited choice. Unfriendly staff.","1,0",Cực kỳ tệ,Four Points by Sheraton Danang
Long,Singapore,Phòng gia đình,"Phòng Deluxe 2 Giường Đơn, Nhìn Một Phần Ra Biển, Ban Công",3 đêm,Excellent breakfast. Nice cosy hot tub.,"1. This property is dated and needs freshening up. The rooms are dated, and the bathroom fixtures, fittings, silicone needs an update.

2. Not centrally located, you need a taxi to go to the centre as it is quite a long walk away.

3. The glass auto-sliding doors at the front of the building does not have a sticker on them. In certain light conditions, it looks like the door is open, even though it is actually closed. Unfortunately, I walked straight into the glass door at speed (in the afternoon on my way out), and bruised my knee on the first day. I reported my injury in the evening to the front desk and even stated the date/time when it happened so she could check, but the staff did not understand a word. She asked me to use a translator app and I typed into the app. . I specifically asked for medicated oil to help rub into the bruise (next day is ok too given that I stayed for 3 nights), and I provided feedback that they need to put stickers on the door to avoid similar future incidents. The staff I spoke to, said they will put stickers on the door during the next day. I received no compensation, no medicated oil, and no sticker on the door. I am utterly disappointed by the staff in handling this matter. At the very least, I would have expected them to make the doors safer for other customers, but that did not happen during my stay.

4. Partially blocked view of the sea, largely due to the unpleasant view of the high rise building construction happening next door.","5,0","Fab breakfast, but let down by the dated accommodation, and the handling of the auto-sliding doors that caused my bruise",Four Points by Sheraton Danang
Kitiphong,Thái Lan,Nhóm,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",2 đêm,The room is clean with a good facility.,"Long time for waiting for the elevator, 
Not enough seats for Breakfast
5 stars rate but I don't feel that it is the 5 stars hotel
Cannot pay cash in USD, very terrible","4,0",I won't be there next time,Four Points by Sheraton Danang
Dcmy,Malaysia,Phòng gia đình,"Phòng Superior 2 Giường Đơn, Nhìn Ra Thành Phố, Ban Công",1 đêm,Nice location,Car park is far....bellman not much service...need to handle luggage myself when check out,"5,0",Good location...but bellman bad service,Four Points by Sheraton Danang
Tracy,Mỹ,Cặp đôi,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",4 đêm,Beautiful view,They did not provide beach towels.,"5,0",Kids running around so crazy everywhere.,Four Points by Sheraton Danang
Không tên,Ấn Độ,Phòng gia đình,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",3 đêm,location was excellent,Food,10,Xuất sắc,Four Points by Sheraton Danang
Không tên,Thụy Điển,Khách lẻ,"Phòng Superior 2 Giường Đơn, Nhìn Ra Thành Phố, Ban Công",1 đêm,,"old carpet in the room. a bit smelly room, probably from the old carpet? or trying to hide previous guests smoking? does not feel fresh at all inside the room…","5,0",Tàm tạm,Four Points by Sheraton Danang
Hyeongyeon,Hàn Quốc,Khách lẻ,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",1 đêm,베트남 호텔 조식이 대부분 그렇지만 빵종류는 되게 다양한데 고기류가 거의 없어요... 계란이나 소세지 가끔 베이컨 정도..? 왜그런지는 모르겠지만 ㅎㅎ 그래도 잘 먹엇습니다. ㅎㅎㅎ,직원이 설명을 너무 대충해서 못알아듣겠고 조금 불친절한 느낌이었어요. 약간 귀찮아하는 느낌 ㅠㅠㅠ 엘리베이터가 느린게 조금 단점이긴 하지만 크게 신경쓸 정도는 아니에용 주변에 가게들이 업어서 좀 아쉽,"8,0",Rất tốt,Four Points by Sheraton Danang
Huichen,Đài Loan,Phòng gia đình,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",3 đêm,服務人員都很客氣、早餐多樣化,"1.飯店大門口對面，是一片雜草樹林，且是用鐵皮圍起來的。在一開始選擇這飯店主要是想過個馬路就能悠閒的到沙灘。所以在飯店環境是有些許的失望。只能沿著小路走到沙灘。
2.房間壁紙有些許的發霉，應該是海邊濕氣的因素。","9,0",整體來說，住宿算舒服，沒有遇到像大家分享的電梯要等很久,Four Points by Sheraton Danang
Inho,Hàn Quốc,Phòng gia đình,"Phòng Deluxe 2 Giường Đơn, Nhìn Một Phần Ra Biển, Ban Công",4 đêm,"시설은 조금 낡은 면이 있었지만, 직원들은아주 친절하였고 으로만 건네면 바로 미케 비치가 있어서 아침이나 저녁에 해수욕하기에 매우 좋았다.",,"8,0",Rất tốt,Four Points by Sheraton Danang
Hyungho,Hàn Quốc,Cặp đôi,"Phòng Premium Có 1 Giường Cỡ King, Nhìn Ra Biển, Tầng Cao, Ban Công",1 đêm,"시내와 가까운 위치,
비치와 시내가 다보이는 전망,
직원들의 친절한 응대","조식 더 발전했으면 좋겠고, 화장실 청결도가 조금 떨어지는
부분이 있었습니다","7,0",가성비 좋은 뷰맛집 호텔,Four Points by Sheraton Danang
Hoa,Đức,Phòng gia đình,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",8 đêm,Der Unterkunft hat mir gut gefallen,,"9,0",Es war sehr schön,Four Points by Sheraton Danang
Sangmin,Hàn Quốc,Phòng gia đình,"Phòng Deluxe 2 Giường Đơn, Nhìn Một Phần Ra Biển, Ban Công",3 đêm,"좋은 위치에 합리적인 가격과 시설, 친절한 직원 서비스 등","객실내 습도가 높아서 바닥이 좀 미끄럽습니다.
안전상 문제가 없도록 좀 더 세심한 관리가 필요합니다. :)","9,0",가족여행 후기,Four Points by Sheraton Danang
Christophe,Việt Nam,Cặp đôi,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",3 đêm,Hotel bien place et personnels charmants. La cuisine est de bonne tenue,On attend vraiment longtemps les ascenseurs et l'ambiante du lounge au 36 n'est pas agreable,"7,0",Tốt,Four Points by Sheraton Danang
Yasushi,Nhật Bản,Phòng gia đình,"Suite Ở Góc Có 1 Phòng Ngủ, 1 Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",3 đêm,広い部屋、バスタブが最高でした。,韓国人が多く、朝食時のマナーが悪かった。並んでいても平気で割り込むなど。エレベーターの台数が少なくかなり待った,10,とてもよかったです。,Four Points by Sheraton Danang
Masanori,Nhật Bản,Nhóm,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",3 đêm,サービス,バスタブがなかった,"9,0",リラックス,Four Points by Sheraton Danang
Ronald,Đức,Khách lẻ,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",1 đêm,alles,nichts,10,Xuất sắc,Four Points by Sheraton Danang
Müller,Đức,Khách lẻ,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",1 đêm,Alles,Nichts,10,Xuất sắc,Four Points by Sheraton Danang
Michiko,Nhật Bản,Phòng gia đình,"Phòng Deluxe 2 Giường Đơn, Nhìn Một Phần Ra Biển, Ban Công",2 đêm,バスタブあつて　シャワーも使いやすかった,"入った時　部屋が冷えすぎで　すぐに　ベランダ開けて　エアコア切った
設定温度　低すぎ！","7,0",良かった！,Four Points by Sheraton Danang
秀敏,Đài Loan,Phòng gia đình,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",3 đêm,地點很好，景觀很棒，洗澡熱水蓮蓬頭水量夠大，早餐選擇很多樣,,10,Xuất sắc,Four Points by Sheraton Danang
Hyo,Hàn Quốc,Phòng gia đình,"Suite Ở Góc Có 1 Phòng Ngủ, 1 Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",7 đêm,위치가 좋고 직원들도 상당히 친절합니다,수영장 물이 좀 차가워요,"8,0",Rất tốt,Four Points by Sheraton Danang
Kuma,Thái Lan,Cặp đôi,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",2 đêm,,"ビーチには近いが街の中心部までは遠い。
団体客が多く、落ち着いて朝食が取れない。行儀が悪い、汚い、うるさい。","8,0",Rất tốt,Four Points by Sheraton Danang
Liang,Đài Loan,Cặp đôi,"Phòng Deluxe Có Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",3 đêm,性價比很高,床太軟,"9,0",性價比很高的五星飯店，距離美溪沙灘過個馬路就到了，早餐的河粉很推！,Four Points by Sheraton Danang
Jimi,Hàn Quốc,Phòng gia đình,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",2 đêm,침구가 깨끗하고편안했어요,"욕조없는 침실이배정되어 아쉬웠어요.
추가타올을 요청해서 받았는데 엄청난 머리카락 뭉텅이가 타올에 붙어있었네요..ㅠ
수질도 깨끗하고 베드도 좋았는데 마지막날 머리카락때문에 아쉬웠어요..","7,0",Tốt,Four Points by Sheraton Danang
Kana,Nhật Bản,Nhóm,"Phòng Deluxe 2 Giường Đơn, Nhìn Một Phần Ra Biển, Ban Công",1 đêm,"ホテル内や部屋がとても綺麗でリーズナブルな価格もよかったです！朝食もとてもおいしかったです。
雨が降っていて傘を持参していませんでしたが、受付で無料で借りることができました。
ホテルからの移動はタクシーが基本なので、タクシーがホテル横に常時待機していて助かりました","部屋に入ったとたん冷房ガンガンで、12月末で寒く感じたので切ったところ快適に過ごせました。
タクシーがホテル横に停車してるのですが、なぜかハエがいてホテル周りも衛生面改善されるといいなと思います。ホテル内はとても清潔なので、中での衛生面不満は全くないです。","9,0",Tuyệt hảo,Four Points by Sheraton Danang
Kaku,Việt Nam,Cặp đôi,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",2 đêm,31日のブッフェが２０％オフで利用できた。ブッフェの内容もよかった。,"チェックインした後部屋に入ってエアコンが効きすぎていて寒くて辛かった。
雨が降って寒い日だったのでエアコン暖房もきくようにしてほしい。
エレベーターの数が足りない？遅い？","8,0",快適,Four Points by Sheraton Danang
Marco,Ý,Cặp đôi,"Phòng Có 1 Giường Cỡ King Nhìn Ra Toàn Cảnh Biển, Tầng Cao, Ban Công",4 đêm,,La lentezza degli ascensori,"8,0",Rất tốt,Four Points by Sheraton Danang
Lee,Đài Loan,Phòng gia đình,"Phòng Superior 2 Giường Đơn, Nhìn Ra Thành Phố, Ban Công",2 đêm,很好!選擇很多!符合5星的期待!,沒有,"9,0",很新很棒,Four Points by Sheraton Danang
Ralf,Đức,Phòng gia đình,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",4 đêm,Extrem nettes Personal,Etwas voll beim Frühstück,10,Xuất sắc,Four Points by Sheraton Danang
Naoya,Nhật Bản,Cặp đôi,"Phòng Deluxe 2 Giường Đơn, Nhìn Một Phần Ra Biển, Ban Công",5 đêm,フロントでのホイアン行きのタクシーチャーターのアドバイスが良かった。,ホテル前のビーチ前の小道がゴミだらけで不衛生です。,"9,0",Tuyệt hảo,Four Points by Sheraton Danang
Kiwon,Hàn Quốc,Cặp đôi,"Phòng Có 1 Giường Cỡ King Nhìn Ra Toàn Cảnh Biển, Tầng Cao, Ban Công",3 đêm,푹신한 침구 잠이 솔솔 와요,화장실 방구소리가 침대까지 다 들려요,"8,0",Rất tốt,Four Points by Sheraton Danang
Anastasiia,Nga,Cặp đôi,"Phòng Deluxe Có Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",2 đêm,Новые и удобные номера. Очень вкусные завтраки,Не совсем удобный выход на пляж,"8,0","Хорошие номера, вкусные завтраки, но не совсем удобный выход к пляжу",Four Points by Sheraton Danang
Giang,Đức,Phòng gia đình,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",4 đêm,"Den Blick auf das Meer, das Ambiente der Lobby, der Service, die Ausstattung der Zimmer",Die Zimmertür hatte keine gute Schallisolierung. Der Kleiderschrank war nicht ganz praktikabel (wenig Staumöglichkeiten).,"8,0",Rất tốt,Four Points by Sheraton Danang
敏明,Nhật Bản,Phòng gia đình,"Suite Ở Góc Có 1 Phòng Ngủ, 1 Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",4 đêm,"朝食が美味しい
カフェが安くて量が多い
スタッフが親切
外部のアクティビティを予約してくれた",プールの利用マナーを注意してほしい,10,Excellent,Four Points by Sheraton Danang
강수정,Hàn Quốc,Cặp đôi,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",2 đêm,조식 우수 미켓비치 굿,",,",10,Xuất sắc,Four Points by Sheraton Danang
りんご,Nhật Bản,Cặp đôi,"Phòng Deluxe Có Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",2 đêm,"21Fのオーシャンビューのお部屋にアサインされました。お部屋から見る景色は大変すばらしく、日の出を楽しむことができました。ビューバスも最高でした！
また、スタッフの方は、みなさんとても親切でさすがシェラトンと思わせる対応でした。",周辺が開発途中であるためか、近隣には商業施設がありませんでした。市街地に行くのにタクシーを利用したので、特に不便というわけではありませんでしたが、シャトルバスがあったら良かったと思います。,"9,0",快適なホテル滞在でした。,Four Points by Sheraton Danang
Yun,Đài Loan,Nhóm,"Phòng Deluxe 2 Giường Đơn Có Tầm Nhìn Toàn Cảnh, Phòng Nghỉ, 2 Giường Đơn, Tầm Nhìn Một Phần Ra Biển, Tầng Cao, Có Ban Công",4 đêm,"優秀且豐富的早餐，提供多元化的餐點給不同飲食習慣的住客。
頂樓的餐酒館價格公道，口味中上，對於想要待在飯店內享用設施不想他出飯店的人是好選擇，鄰近濱海，櫃台也都可以租借毛巾跟預定水上活動行程。
飯店內spa服務非常好，對於住客的額外折扣性價比很高。",靠海容易反潮。,10,優秀且豐富的早餐，提供多元化的餐點給不同飲食習慣的住客。 頂樓的餐酒館價格公道，口味中上，對於想要待在飯店內享用設施不想他出飯店的人是好選擇，鄰近濱海，櫃台也都可以租借毛巾跟預定水上活動行程。 飯店內,Four Points by Sheraton Danang
Maeyasu,Nhật Bản,Khách lẻ,"Phòng Superior 2 Giường Đơn, Nhìn Ra Thành Phố, Ban Công",7 đêm,"施設が綺麗で、スタッフの対応も良し。
値段も手頃なのでとても良い。",個人的に場所が若干遠いと感じた程度,10,よかった！,Four Points by Sheraton Danang
Hyeryong,Hàn Quốc,Phòng gia đình,"Phòng Superior 2 Giường Đơn, Nhìn Ra Thành Phố, Ban Công",1 đêm,"브랜드 호텔다운 깔끔한 시설과 서비스
공항이나 시내 나가기 멀지 않은 위치",해수욕이 목적이라면 바로 앞 해변이 담으로 막혀 있어 살짝 돌아가야 하는 아쉬움.,"8,0",Rất tốt,Four Points by Sheraton Danang
Maike,Đức,Cặp đôi,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",3 đêm,"tolle Unterkunft, super Service, sehr gute Auswahl am Frühstücksbuffet.",die Klimaanlage roch leicht feucht/schimmelig.,"9,0",alles in allem würden wir wieder kommen.,Four Points by Sheraton Danang
Hayato,Nhật Bản,Cặp đôi,"Suite Ở Góc Có 1 Phòng Ngủ, 1 Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",1 đêm,"プールがなにより素晴らしかったです。
角部屋のセミスイートはトイレも２つあり便利でした。
バスタブからも海が見えて、とてもリラックスできました。",空調設備が音を立てていて、なかなか寝つけませんでした。,"8,0",ダナンの海辺でリラックス,Four Points by Sheraton Danang
Yuko,Nhật Bản,Khách lẻ,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",1 đêm,"チェックイン時間前に入れてくれた。別のホテルを12時前にティックアウトしたのちにシェラトンに移動した際、空いてればすぐに入れてくれると返答あり。
その通り13：30に部屋に入れた。",プライベートビーチに椅子やテーブル傘などの設備がない。,"8,0",チェックインタイムが融通きくところが良い,Four Points by Sheraton Danang
김,Việt Nam,Phòng gia đình,"Phòng Deluxe Có Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",2 đêm,"전반적으로 좋았어요...그러나 좀 만족스럽지는 않았아요.
조식. 적극적 써빙 도움에 감사합니다~.","약간의 아쉬운 점은
1) 한국사람이 너무 많아요...인기는 좋음
2) 조식은 좋았으나...질좋은 빵종류가 부족합니다
요거트는 없음?
3)룸의 카펫이 더러움...오염상태 많음
4)엘리베이터 ..많이 기다리고, 복잡
5)체크인할때...보증금 추가한 초과 계산 방식이 이해가 어렵군요","7,0",전체적으로는 양호합니다.,Four Points by Sheraton Danang
Yasuhiro,Thái Lan,Cặp đôi,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",3 đêm,朝食が良かった。ルーフトップバーのサービスが良く、店員も親切。,,"9,0",Tuyệt hảo,Four Points by Sheraton Danang
Kukmin,Hàn Quốc,Phòng gia đình,"Phòng Superior 2 Giường Đơn, Nhìn Ra Thành Phố, Ban Công",2 đêm,바닷가 바로 앞. 호텔 찾기 쉬움. 서툴지만 한귝어 가능한 직원이 있음. 직원 친절도는 케바케. 식당의 직원들은 매우 친절했음.,룸이 계속 습함. 화장실 블라인드 고장. 샤워기에서 물 뿜듯이 샘. 사진과 느낌이 다름. 조식 생각보다 먹을게 별로 없음. 보증금이 방값보다 비쌈..,"7,0",Tốt,Four Points by Sheraton Danang
김성식,Hàn Quốc,Cặp đôi,"Suite Ở Góc Có 1 Phòng Ngủ, 1 Giường Cỡ King, Tầm Nhìn Ra Biển, Ban Công",3 đêm,"귀사에 무궁한 발전 기원합니다
잔반적으로 친절 했습니다","1.아침 조십 뷔페가 일반 4성급 호털과 별다르지 않음
 여러가지 갯수만 만지만 빵이 너무 많고 막상 쌀국수
 오무라이스 외 먹을께 없다는 평가입니다
2. 침구류가 먼지가 많아 조금 청결하기가 아쉬움점
3.한국 사람 많이 찿아뵙는 호텔 5성급인데 
 통역 사가 24시간 상주가 없어 많이 불편했습니다.
 비상시 안내테스크에서 응대해주시는분 있어으면 합니다....
4. 마지막으로 호텔외부 흡연 구역좀 부탁 합니다","7,0",무궁한 발전 귀원 합니다.,Four Points by Sheraton Danang
Trong,Pháp,Cặp đôi,"Phòng Có 1 Giường Cỡ King Nhìn Ra Toàn Cảnh Biển, Tầng Cao, Ban Công",3 đêm,"Le confort de la literie, la salle de bain très fonctionnelle et la vue mer est magnifique 
Le service est perspicace",,10,Xuất sắc,Four Points by Sheraton Danang
Tsaihsuan,Đài Loan,Nhóm,"Phòng Superior 1 Giường King, Hướng Biển, Ban Công",1 đêm,乾淨整潔 高樓層海景房景色很棒,,10,Xuất sắc,Four Points by Sheraton Danang
